Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,1999,Australia,Damien Fleming,24 April 1970,Right-handed,Right-arm fast medium,Victoria
ODI World Cup,1999,Australia,Damien Martyn,21 October 1971,Right-handed,Right-arm medium,Western Australia
ODI World Cup,1999,Australia,Darren Lehmann,5 February 1970,Left-handed,Slow left-arm orthodox,South Australia
ODI World Cup,1999,Australia,Glenn McGrath,9 February 1970,Right-handed,Right-arm fast medium,New South Wales
ODI World Cup,1999,Australia,Mark Waugh,2 June 1965,Right-handed,Right-arm medium/off break,New South Wales
ODI World Cup,1999,Australia,Michael Bevan,8 May 1970,Left-handed,Slow left-arm wrist-spin,New South Wales
ODI World Cup,1999,Australia,Paul Reiffel,19 April 1966,Right-handed,Right-arm fast medium,Victoria
ODI World Cup,1999,Australia,Ricky Ponting,19 December 1974,Right-handed,Right-arm medium,Tasmania
ODI World Cup,1999,Australia,Shane Lee,8 August 1973,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1999,Australia,Shane Warne,13 September 1969,Right-handed,Right-arm leg break,Victoria
ODI World Cup,1999,Australia,Steve Waugh (c),2 June 1965,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1999,Australia,Tom Moody,2 October 1965,Right-handed,Right-arm medium,Western Australia
ODI World Cup,1999,Bangladesh,Akram Khan,1 November 1968,Right-handed,Right-arm medium,Chittagong Division
ODI World Cup,1999,Bangladesh,Aminul Islam (c),2 February 1968,Right-handed,Right-arm off break,Biman Bangladesh Airlines
ODI World Cup,1999,Bangladesh,Enamul Haque,27 February 1966,Left-handed,Slow left-arm orthodox,Biman Bangladesh Airlines
ODI World Cup,1999,Bangladesh,Faruk Ahmed,24 July 1966,Right-handed,Right-arm off break,Biman Bangladesh Airlines
ODI World Cup,1999,Bangladesh,Hasibul Hossain,3 June 1977,Right-handed,Right-arm fast medium,Sylhet Division
ODI World Cup,1999,Bangladesh,Khaled Mahmud,26 July 1971,Right-handed,Right-arm medium,Dhaka Division
ODI World Cup,1999,Bangladesh,Khaled Mashud (wk),8 February 1976,Right-handed,Wicket-keeper,Rajshahi Division
ODI World Cup,1999,Bangladesh,Manjural Islam,7 November 1979,Left-handed,Left-arm fast medium,Khulna Division
ODI World Cup,1999,Bangladesh,Mehrab Hossain,22 September 1978,Right-handed,Right-arm medium,Dhaka Division
ODI World Cup,1999,Bangladesh,Minhajul Abedin,25 September 1965,Right-handed,Right-arm off break,Chittagong Division
ODI World Cup,1999,Bangladesh,Mohammad Rafique,5 September 1970,Left-handed,Slow left-arm orthodox,Sylhet Division
ODI World Cup,1999,Bangladesh,Naimur Rahman,9 September 1974,Right-handed,Right-arm off break,Dhaka Division
ODI World Cup,1999,Bangladesh,Niamur Rashid,1 January 1975,Right-handed,Right-arm medium fast,Dhaka Metropolis
ODI World Cup,1999,Bangladesh,Shafiuddin Ahmed,1 June 1973,Right-handed,Right-arm fast medium,Chittagong Division
ODI World Cup,1999,Bangladesh,Shahriar Hossain,1 June 1976,Right-handed,Right-arm off break,Dhaka Division
ODI World Cup,1999,England,Adam Hollioake,5 September 1971,Right-handed,Right-arm medium,Surrey
ODI World Cup,1999,England,Alan Mullally,12 July 1969,Right-handed,Left-arm fast medium,Leicestershire
ODI World Cup,1999,England,Alec Stewart (c/wk),8 April 1963,Right-handed,Right-arm medium,Surrey
ODI World Cup,1999,England,Andrew Flintoff,6 December 1977,Right-handed,Right-arm fast,Lancashire
ODI World Cup,1999,England,Angus Fraser,8 August 1965,Right-handed,Right-arm fast medium,Middlesex
ODI World Cup,1999,England,Darren Gough,18 September 1970,Right-handed,Right-arm fast,Yorkshire
ODI World Cup,1999,England,Graeme Hick,23 May 1966,Right-handed,Right-arm off break,Worcestershire
ODI World Cup,1999,England,Graham Thorpe,1 August 1969,Left-handed,Right-arm medium,Surrey
ODI World Cup,1999,England,Ian Austin,30 May 1966,Left-handed,Right-arm medium,Lancashire
ODI World Cup,1999,England,Mark Ealham,27 August 1969,Right-handed,Right-arm medium fast,Kent
ODI World Cup,1999,England,Nasser Hussain,28 March 1968,Right-handed,Right-arm leg break,Essex
ODI World Cup,1999,England,Neil Fairbrother,9 September 1963,Left-handed,Left-arm medium,Lancashire
ODI World Cup,1999,England,Nick Knight,28 November 1969,Left-handed,Right-arm medium,Warwickshire
ODI World Cup,1999,England,Robert Croft,25 May 1970,Right-handed,Right-arm off break,Glamorgan
ODI World Cup,1999,England,Vince Wells,6 August 1965,Right-handed,Right-arm medium,Kent
ODI World Cup,1999,India,Ajay Jadeja (vc),1 February 1971,Right-handed,Right-arm medium,Haryana
ODI World Cup,1999,India,Ajit Agarkar,4 December 1977,Right-handed,Right-arm fast medium,Mumbai
ODI World Cup,1999,India,Amay Khurasiya,18 May 1972,Left-handed,Slow left-arm orthodox,Madhya Pradesh
ODI World Cup,1999,India,Anil Kumble,17 October 1970,Right-handed,Right-arm leg break,Karnataka
ODI World Cup,1999,India,Debasis Mohanty,20 July 1976,Right-handed,Right-arm fast medium,Odisha
ODI World Cup,1999,India,Javagal Srinath,31 August 1969,Right-handed,Right-arm fast,Karnataka
ODI World Cup,1999,India,Mohammad Azharuddin (c),8 February 1963,Right-handed,Right-arm medium,Hyderabad
ODI World Cup,1999,India,Nayan Mongia (wk),19 December 1969,Right-handed,Wicket-keeper,Baroda
ODI World Cup,1999,India,Nikhil Chopra,19 August 1973,Right-handed,Right-arm off break,Uttar Pradesh
ODI World Cup,1999,India,Rahul Dravid,11 January 1973,Right-handed,Right-arm off break,Karnataka
ODI World Cup,1999,India,Robin Singh,14 September 1963,Left-handed,Right-arm medium fast,Tamil Nadu
ODI World Cup,1999,India,Sachin Tendulkar,24 April 1973,Right-handed,Right-arm leg break,Mumbai
ODI World Cup,1999,India,Sadagoppan Ramesh,16 October 1975,Left-handed,Right-arm off break,Tamil Nadu
ODI World Cup,1999,India,Sourav Ganguly,8 July 1972,Left-handed,Right-arm medium,Bengal
ODI World Cup,1999,India,Venkatesh Prasad,5 August 1969,Right-handed,Right-arm medium fast,Karnataka
ODI World Cup,1999,Kenya,Aasif Karim (c),15 September 1963,Right-handed,Slow left-arm orthodox,"Jaffery, Mombasa"
ODI World Cup,1999,Kenya,Alpesh Vadher,7 September 1974,Right-handed,,"Premier, Nairobi"
ODI World Cup,1999,Kenya,Dipak Chudasama,20 May 1963,Right-handed,,
ODI World Cup,1999,Kenya,Hitesh Modi,13 October 1971,Left-handed,Slow left-arm orthodox,"Nairobi Gymkhana, Kisumu"
ODI World Cup,1999,Kenya,Jimmy Kamande,12 December 1978,Right-handed,Right-arm off spin/fast medium,
ODI World Cup,1999,Kenya,Joseph Angara,8 November 1971,Right-handed,Right-arm medium fast,"Swamibapa, Nairobi"
ODI World Cup,1999,Kenya,Kennedy Otieno (wk),11 March 1972,Right-handed,,"Ruaraka, Nairobi"
ODI World Cup,1999,Kenya,Martin Suji,2 June 1971,Right-handed,Right-arm medium fast,"Aga Khan, Nairobi"
ODI World Cup,1999,Kenya,Maurice Odumbe,15 June 1969,Right-handed,Right-arm off break,"Aga Khan, Nairobi"
ODI World Cup,1999,Kenya,Mohammad Sheikh,29 August 1980,Left-handed,Left-arm fast,
ODI World Cup,1999,Kenya,Ravindu Shah,28 August 1972,Right-handed,Right-arm medium fast,"Nairobi Gymkhana, Kisumu"
ODI World Cup,1999,Kenya,Sandip Gupta (wk),7 April 1967,Right-handed,,
ODI World Cup,1999,Kenya,Steve Tikolo,25 June 1971,Right-handed,Right-arm medium/off spin,"Swamibapa, Nairobi"
ODI World Cup,1999,Kenya,Thomas Odoyo,12 May 1978,Right-handed,Right-arm medium fast,"Nairobi Gymkhana, Kisumu"
ODI World Cup,1999,Kenya,Tony Suji,5 February 1976,Right-handed,Right-arm medium,"Aga Khan, Nairobi"
ODI World Cup,1999,New Zealand,Adam Parore (wk),23 January 1971,Right-handed,Wicket-keeper,Auckland
ODI World Cup,1999,New Zealand,Carl Bulfin,19 August 1973,Right-handed,Right-arm fast medium,Wellington
ODI World Cup,1999,New Zealand,Chris Cairns,13 June 1970,Right-handed,Right-arm fast medium,Canterbury
ODI World Cup,1999,New Zealand,Chris Harris,20 November 1969,Left-handed,Right-arm medium,Canterbury
ODI World Cup,1999,New Zealand,Craig McMillan,13 September 1976,Right-handed,Right-arm medium,Canterbury
ODI World Cup,1999,New Zealand,Daniel Vettori,27 January 1979,Left-handed,Slow left-arm orthodox,Northern Districts
ODI World Cup,1999,New Zealand,Dion Nash,20 November 1971,Right-handed,Right-arm fast medium,Northern Districts
ODI World Cup,1999,New Zealand,Gavin Larsen,27 September 1962,Right-handed,Right-arm medium,Wellington
ODI World Cup,1999,New Zealand,Geoff Allott,24 December 1971,Right-handed,Left-arm fast medium,Canterbury
ODI World Cup,1999,New Zealand,Matt Horne,5 December 1970,Right-handed,Right-arm medium,Otago
ODI World Cup,1999,New Zealand,Matthew Hart,16 May 1972,Left-handed,Slow left-arm orthodox,Northern Districts
ODI World Cup,1999,New Zealand,Nathan Astle,15 September 1971,Right-handed,Right-arm medium,Canterbury
ODI World Cup,1999,New Zealand,Roger Twose,17 April 1968,Left-handed,Right-arm medium,Wellington
ODI World Cup,1999,New Zealand,Simon Doull,6 August 1969,Right-handed,Right-arm medium,Northern Districts
ODI World Cup,1999,New Zealand,Stephen Fleming (c),1 April 1973,Left-handed,Right-arm off break,Canterbury
ODI World Cup,1999,Pakistan,Abdul Razzaq,2 December 1979,Right-handed,Right-arm fast medium,PIA
ODI World Cup,1999,Pakistan,Azhar Mahmood,28 February 1975,Right-handed,Right-arm fast medium,PIA
ODI World Cup,1999,Pakistan,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
ODI World Cup,1999,Pakistan,Inzamam-ul-Haq,3 March 1970,Right-handed,Slow left-arm orthodox,Faisalabad
ODI World Cup,1999,Pakistan,Moin Khan (wk),23 September 1971,Right-handed,Wicket-keeper,PIA
ODI World Cup,1999,Pakistan,Mushtaq Ahmed,28 June 1970,Right-handed,Right-arm leg break,Multan
ODI World Cup,1999,Pakistan,Saeed Anwar,6 September 1968,Left-handed,Slow left-arm orthodox,National Bank
ODI World Cup,1999,Pakistan,Saleem Malik,16 April 1963,Right-handed,Right-arm off break/slow medium,Lahore
ODI World Cup,1999,Pakistan,Saqlain Mushtaq,29 December 1976,Right-handed,Right-arm off break,PIA
ODI World Cup,1999,Pakistan,Shahid Afridi,1 March 1977,Right-handed,Right-arm leg break,Habib Bank
ODI World Cup,1999,Pakistan,Shoaib Akhtar,13 August 1975,Right-handed,Right-arm fast,Khan Research Labs
ODI World Cup,1999,Pakistan,Wajahatullah Wasti,11 November 1974,Right-handed,Right-arm off break,Allied Bank Limited
ODI World Cup,1999,Pakistan,Waqar Younis,16 November 1971,Right-handed,Right-arm fast,United Bank Limited
ODI World Cup,1999,Pakistan,Wasim Akram (c),3 June 1966,Left-handed,Left-arm fast,PIA
ODI World Cup,1999,Pakistan,Yousuf Youhana,27 August 1974,Right-handed,Right-arm off break,PIA
ODI World Cup,1999,Scotland,Alec Davies (wk),14 August 1962,Right-handed,Wicket-keeper,
ODI World Cup,1999,Scotland,Asim Butt,24 June 1967,Right-handed,Left-arm medium fast,
ODI World Cup,1999,Scotland,Bruce Patterson,29 January 1965,Right-handed,,
ODI World Cup,1999,Scotland,Gavin Hamilton,16 September 1974,Left-handed,Right-arm medium fast,Yorkshire
ODI World Cup,1999,Scotland,George Salmond (c),1 December 1969,Right-handed,Right-arm medium,
ODI World Cup,1999,Scotland,Greig Williamson,28 December 1968,Right-handed,Right-arm medium,
ODI World Cup,1999,Scotland,Ian Philip,9 June 1958,Right-handed,,
ODI World Cup,1999,Scotland,Ian Stanger,5 October 1971,Right-handed,Right-arm medium,
ODI World Cup,1999,Scotland,James Brinkley,13 March 1974,Right-handed,Right-arm fast medium,
ODI World Cup,1999,Scotland,John Blain,4 January 1979,Right-handed,Right-arm fast medium,Northamptonshire
ODI World Cup,1999,Scotland,Keith Sheridan,26 March 1971,Right-handed,Left-arm slow,
ODI World Cup,1999,Scotland,Michael Allingham,6 January 1965,Right-handed,Right-arm medium,
ODI World Cup,1999,Scotland,Mike Smith,30 March 1966,Right-handed,Right-arm medium,
ODI World Cup,1999,Scotland,Nick Dyer,10 September 1969,Right-handed,Right-arm off break,
ODI World Cup,1999,Scotland,Peter Steindl,14 June 1970,Right-handed,Right-arm medium,
ODI World Cup,1999,South Africa,Alan Dawson,27 November 1969,Right-handed,Right-arm medium fast,Western Province
ODI World Cup,1999,South Africa,Allan Donald,20 October 1966,Right-handed,Right-arm fast,Warwickshire
ODI World Cup,1999,South Africa,Dale Benkenstein,9 June 1974,Right-handed,Right-arm medium/off break,KwaZulu-Natal
ODI World Cup,1999,South Africa,Daryll Cullinan,4 March 1967,Right-handed,Right-arm off break,Gauteng
ODI World Cup,1999,South Africa,Derek Crookes,5 March 1969,Right-handed,Right-arm off break,Gauteng
ODI World Cup,1999,South Africa,Gary Kirsten,23 November 1967,Left-handed,Right-arm off break,Western Province
ODI World Cup,1999,South Africa,Hansie Cronje (c),25 September 1969,Right-handed,Right-arm medium,Free State
ODI World Cup,1999,South Africa,Herschelle Gibbs,23 February 1974,Right-handed,Right-arm medium,Western Province
ODI World Cup,1999,South Africa,Jacques Kallis,16 October 1975,Right-handed,Right-arm fast medium,Western Province
ODI World Cup,1999,South Africa,Jonty Rhodes,27 July 1969,Right-handed,Right-arm medium,KwaZulu-Natal
ODI World Cup,1999,South Africa,Lance Klusener,4 September 1971,Left-handed,Right-arm fast medium,KwaZulu-Natal
ODI World Cup,1999,South Africa,Mark Boucher (wk),3 December 1976,Right-handed,Wicket-keeper,Border
ODI World Cup,1999,South Africa,Nicky Boje,20 March 1973,Left-handed,Slow left-arm orthodox,Free State
ODI World Cup,1999,South Africa,Shaun Pollock,16 July 1973,Right-handed,Right-arm fast medium,Warwickshire
ODI World Cup,1999,South Africa,Steve Elworthy,23 February 1965,Right-handed,Right-arm fast medium,Northerns
ODI World Cup,1999,Sri Lanka,Aravinda de Silva (vc),17 October 1965,Right-handed,Right-arm off break,Nondescripts
ODI World Cup,1999,Sri Lanka,Arjuna Ranatunga (c),1 December 1963,Left-handed,Right-arm medium,Sinhalese SC
ODI World Cup,1999,Sri Lanka,Chaminda Vaas,27 January 1974,Left-handed,Left-arm fast medium,Colts CC
ODI World Cup,1999,Sri Lanka,Chandika Hathurusingha,13 September 1968,Right-handed,Right-arm medium fast,Tamil Union
ODI World Cup,1999,Sri Lanka,Eric Upashantha,10 June 1972,Right-handed,Right-arm fast medium,Colts CC
ODI World Cup,1999,Sri Lanka,Hashan Tillakaratne,14 July 1967,Left-handed,,Nondescripts
ODI World Cup,1999,Sri Lanka,Mahela Jayawardene,27 May 1977,Right-handed,Right-arm medium,Sinhalese SC
ODI World Cup,1999,Sri Lanka,Marvan Atapattu,22 November 1970,Right-handed,Right-arm leg break,Sinhalese SC
ODI World Cup,1999,Sri Lanka,Muttiah Muralitharan,17 April 1972,Right-handed,Right-arm off break,Tamil Union
ODI World Cup,1999,Sri Lanka,Pramodya Wickramasinghe,14 August 1971,Right-handed,Right-arm fast,Burgher RC
ODI World Cup,1999,Sri Lanka,Romesh Kaluwitharana (wk),24 November 1969,Right-handed,Right-arm medium,Sebastianites
ODI World Cup,1999,Sri Lanka,Roshan Mahanama,31 May 1966,Right-handed,,Bloomfield
ODI World Cup,1999,Sri Lanka,Ruwan Kalpage,19 February 1970,Left-handed,Right-arm off break,Nondescripts CC
ODI World Cup,1999,Sri Lanka,Sanath Jayasuriya,30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield
ODI World Cup,1999,Sri Lanka,Upul Chandana,7 May 1972,Right-handed,Right-arm leg break,Tamil Union C&AC
ODI World Cup,1999,West Indies,Brian Lara (c),2 May 1969,Left-handed,Right-arm leg break,Trinidad and Tobago
ODI World Cup,1999,West Indies,Courtney Walsh,30 October 1962,Right-handed,Right-arm medium fast,Jamaica
ODI World Cup,1999,West Indies,Curtly Ambrose,21 September 1963,Left-handed,Right-arm fast,Leeward Islands
ODI World Cup,1999,West Indies,Hendy Bryan,17 March 1970,Right-handed,Right-arm fast medium,Barbados
ODI World Cup,1999,West Indies,Jimmy Adams,9 January 1968,Left-handed,Slow left-arm orthodox,Jamaica
ODI World Cup,1999,West Indies,Keith Arthurton,21 February 1965,Left-handed,Slow left-arm orthodox,Leeward Islands
ODI World Cup,1999,West Indies,Mervyn Dillon,5 June 1974,Right-handed,Right-arm fast medium,Trinidad and Tobago
ODI World Cup,1999,West Indies,Nehemiah Perry,16 June 1968,Right-handed,Right-arm off break,Jamaica
ODI World Cup,1999,West Indies,Phil Simmons,18 April 1963,Right-handed,Right-arm medium,Trinidad and Tobago
ODI World Cup,1999,West Indies,Reon King,6 October 1975,Right-handed,Right-arm fast medium,Guyana
ODI World Cup,1999,West Indies,Ricardo Powell,16 December 1978,Right-handed,Right-arm off break,Jamaica
ODI World Cup,1999,West Indies,Ridley Jacobs (wk),26 November 1967,Left-handed,Wicket-keeper,Leeward Islands
ODI World Cup,1999,West Indies,Sherwin Campbell,1 January 1970,Right-handed,Right-arm medium,Barbados
ODI World Cup,1999,West Indies,Shivnarine Chanderpaul,16 August 1974,Left-handed,Right-arm leg break,Guyana
ODI World Cup,1999,West Indies,Stuart Williams,12 August 1969,Right-handed,Right-arm medium,Leeward Islands
ODI World Cup,1999,Zimbabwe,Adam Huckle,21 September 1971,Right-handed,Right-arm leg break googly,Matabeleland
ODI World Cup,1999,Zimbabwe,Alistair Campbell (c),23 September 1972,Left-handed,Right-arm off break,Manicaland
ODI World Cup,1999,Zimbabwe,Andy Flower (wk),28 April 1968,Left-handed,Right-arm off break,Mashonaland
ODI World Cup,1999,Zimbabwe,Andy Whittall,19 March 1973,Right-handed,Right-arm off break,Manicaland
ODI World Cup,1999,Zimbabwe,Dirk Viljoen,11 March 1977,Left-handed,Slow left-arm orthodox,Mashonaland
ODI World Cup,1999,Zimbabwe,Eddo Brandes,5 March 1963,Right-handed,Right-arm fast,Mashonaland
ODI World Cup,1999,Zimbabwe,Grant Flower,20 December 1970,Right-handed,Slow left-arm orthodox,Mashonaland
ODI World Cup,1999,Zimbabwe,Guy Whittall,5 September 1972,Right-handed,Right-arm medium,Mashonaland
ODI World Cup,1999,Zimbabwe,Heath Streak,16 March 1974,Right-handed,Right-arm fast medium,Matabeleland
ODI World Cup,1999,Zimbabwe,Henry Olonga,3 July 1976,Right-handed,Right-arm fast,Matabeleland
ODI World Cup,1999,Zimbabwe,Murray Goodwin,11 December 1972,Right-handed,Right-arm leg break,Mashonaland
ODI World Cup,1999,Zimbabwe,Neil Johnson,24 January 1970,Left-handed,Right-arm fast medium,Western Province
ODI World Cup,1999,Zimbabwe,Paul Strang,9 June 1972,Right-handed,Left-arm medium,Mashonaland
ODI World Cup,1999,Zimbabwe,Pommie Mbangwa,26 June 1976,Right-handed,Right-arm fast medium,Matabeleland
ODI World Cup,1999,Zimbabwe,Stuart Carlisle,10 May 1972,Right-handed,Right-arm medium,Mashonaland
ODI World Cup,2003,Australia,Adam Gilchrist (wk),14 November 1971,Left-handed,Right-arm off break,Western Australia
ODI World Cup,2003,Australia,Andrew Symonds,9 June 1975,Right-handed,Right-arm fast medium/off-spin,Queensland
ODI World Cup,2003,Australia,Andy Bichel,27 August 1970,Right-handed,Right-arm fast medium,Queensland
ODI World Cup,2003,Australia,Brad Hogg,6 February 1971,Left-handed,Slow left-arm wrist-spin,Western Australia
ODI World Cup,2003,Australia,Brett Lee,8 November 1976,Right-handed,Right-arm fast,New South Wales
ODI World Cup,2003,Australia,Damien Martyn,21 October 1971,Right-handed,Right-arm medium,Western Australia
ODI World Cup,2003,Australia,Darren Lehmann,5 February 1970,Left-handed,Slow left-arm orthodox,South Australia
ODI World Cup,2003,Australia,Glenn McGrath,9 February 1970,Right-handed,Right-arm fast medium,New South Wales
ODI World Cup,2003,Australia,Ian Harvey,10 April 1972,Right-handed,Right-arm medium,Victoria
ODI World Cup,2003,Australia,Jason Gillespie,19 April 1975,Right-handed,Right-arm fast,South Australia
